Date,Open,High,Low,Close,Adj Close,Volume
2022-03-25,43964.55,44999.49,43706.29,44348.73,44348.73,0
2022-03-26,44349.86,44736.00,44166.28,44500.83,44500.83,0
2022-03-27,44505.36,46827.55,44437.29,46820.49,46820.49,0
2022-03-28,46821.85,48086.84,46690.20,47128.01,47128.01,0
2022-03-29,47100.44,48022.29,47100.44,47465.73,47465.73,0
2022-03-30,47456.90,47655.15,46746.21,47062.66,47062.66,0
2022-03-31,47062.15,47512.03,45390.54,45538.68,45538.68,0
2022-04-01,45554.16,46616.24,44403.14,46281.64,46281.64,0
2022-04-02,46285.50,47028.28,45782.51,45868.95,45868.95,0
2022-04-03,45859.13,47313.48,45634.10,46453.57,46453.57,0
2022-04-04,46445.27,46791.09,45235.82,46622.67,46622.67,0
2022-04-05,46624.51,47106.14,45544.81,45555.99,45555.99,0
2022-04-06,45544.36,45544.36,43193.95,43206.74,43206.74,0
2022-04-07,43207.50,43860.70,42899.91,43503.85,43503.85,0
2022-04-08,43505.14,43903.02,42183.29,42287.66,42287.66,0
2022-04-09,42282.08,42786.82,42183.25,42782.14,42782.14,0
2022-04-10,42781.09,43376.38,42021.21,42207.67,42207.67,0
2022-04-11,42201.04,42424.59,39373.06,39521.90,39521.90,0
2022-04-12,39533.71,40617.59,39388.33,40127.18,40127.18,0
2022-04-13,40123.57,41430.05,39712.75,41166.73,41166.73,0
2022-04-14,41160.22,41451.48,39695.74,39935.52,39935.52,0
2022-04-15,39939.40,40617.72,39866.83,40553.46,40553.46,0
2022-04-16,40552.32,40633.68,40078.43,40424.48,40424.48,0
2022-04-17,40417.78,40570.73,39620.89,39716.95,39716.95,0
2022-04-18,39721.20,40986.32,38696.19,40826.21,40826.21,0
2022-04-19,40828.17,41672.96,40618.63,41502.75,41502.75,0
2022-04-20,41501.74,42126.30,40961.10,41374.38,41374.38,0
2022-04-21,41371.52,42893.58,40063.83,40527.36,40527.36,0
2022-04-22,40525.86,40777.76,39315.42,39740.32,39740.32,0
2022-04-23,39738.72,39935.86,39352.20,39486.73,39486.73,0
2022-04-24,39478.37,39845.92,39233.54,39469.29,39469.29,0
2022-04-25,39472.61,40491.75,38338.38,40458.31,40458.31,0
2022-04-26,40448.42,40713.89,37884.99,38117.46,38117.46,0
2022-04-27,38120.30,39397.92,37997.31,39241.12,39241.12,0
2022-04-28,39241.43,40269.47,38941.42,39773.83,39773.83,0
2022-04-29,39768.62,39887.27,38235.54,38609.82,38609.82,0
2022-04-30,38605.86,38771.21,37697.94,37714.88,37714.88,0
2022-05-01,37713.27,38627.86,37585.79,38469.09,38469.09,0
2022-05-02,38472.19,39074.97,38156.56,38529.33,38529.33,0
2022-05-03,38528.11,38629.99,37585.62,37750.45,37750.45,0
2022-05-04,37748.01,39902.95,37732.06,39698.37,39698.37,0
2022-05-05,39695.75,39789.28,35856.52,36575.14,36575.14,0
2022-05-06,36573.18,36624.36,35482.13,36040.92,36040.92,0
2022-05-07,36042.50,36129.93,34940.82,35501.95,35501.95,0
2022-05-08,35502.94,35502.94,33878.96,34059.26,34059.26,0
2022-05-09,34060.02,34222.07,30296.95,30296.95,30296.95,0
2022-05-10,30273.65,32596.31,29944.80,31022.91,31022.91,0
2022-05-11,31016.18,32013.40,28170.41,28936.36,28936.36,0
2022-05-12,28936.73,30032.44,26350.49,29047.75,29047.75,0
2022-05-13,29030.91,30924.80,28782.33,29283.10,29283.10,0
2022-05-14,29285.64,30192.80,28702.91,30101.27,30101.27,0
2022-05-15,30098.59,31308.19,29527.74,31305.11,31305.11,0
2022-05-16,31304.37,31305.34,29251.89,29862.92,29862.92,0
2022-05-17,29862.41,30694.49,29570.30,30425.86,30425.86,0
2022-05-18,30424.48,30618.72,28720.27,28720.27,28720.27,0
2022-05-19,28720.36,30430.75,28708.96,30314.33,30314.33,0
2022-05-20,30311.12,30664.98,28793.61,29200.74,29200.74,0
2022-05-21,29199.86,29588.87,29027.39,29432.23,29432.23,0
2022-05-22,29432.47,30425.86,29275.18,30323.72,30323.72,0
2022-05-23,30309.40,30590.59,28975.56,29098.91,29098.91,0
2022-05-24,29101.13,29774.35,28786.59,29655.59,29655.59,0
2022-05-25,29653.14,30157.78,29384.95,29562.36,29562.36,0
2022-05-26,29564.78,29834.16,28261.91,29267.22,29267.22,0
2022-05-27,29251.14,29346.94,28326.61,28627.57,28627.57,0
2022-05-28,28842.10,29135.92,28554.57,29023.49,29023.49,0
2022-05-29,29019.87,29498.01,28841.11,29445.96,29445.96,0
2022-05-30,29443.37,31949.63,29303.57,31726.39,31726.39,0
2022-05-31,31723.87,32249.86,31286.15,31792.31,31792.31,0
2022-06-01,31792.55,31957.28,29501.59,29799.08,29799.08,0
2022-06-02,29794.89,30604.73,29652.70,30467.49,30467.49,0
2022-06-03,30467.81,30633.03,29375.69,29704.39,29704.39,0
2022-06-04,29706.14,29930.56,29500.01,29832.91,29832.91,0
2022-06-05,29835.12,30117.74,29574.45,29906.66,29906.66,0
2022-06-06,29910.28,31693.29,29894.19,31370.67,31370.67,0
2022-06-07,31371.74,31489.68,29311.68,31155.48,31155.48,0
2022-06-08,31151.48,31253.69,29944.40,30214.36,30214.36,0
2022-06-09,30215.28,30609.31,30020.26,30112.00,30112.00,0
2022-06-10,30110.33,30245.81,28978.15,29083.80,29083.80,0
2022-06-11,29084.67,29401.92,28236.21,28360.81,28360.81,0
2022-06-12,28373.51,28502.69,26762.65,26762.65,26762.65,0
2022-06-13,26737.58,26795.59,22141.26,22487.39,22487.39,0
2022-06-14,22487.99,23018.95,20950.82,22206.79,22206.79,0
2022-06-15,22196.73,22642.67,20178.38,22572.84,22572.84,0
2022-06-16,22576.31,22868.92,20265.23,20381.65,20381.65,0
2022-06-17,20385.72,21243.31,20326.52,20471.48,20471.48,0
2022-06-18,20473.42,20736.04,17708.62,19017.64,19017.64,0
2022-06-19,19010.90,20683.82,18067.15,20553.27,20553.27,0
2022-06-20,20553.37,20913.32,19689.17,20599.54,20599.54,0
2022-06-21,20594.29,21620.63,20415.06,20710.60,20710.60,0
2022-06-22,20719.41,20835.75,19848.08,19987.03,19987.03,0
2022-06-23,19986.61,21135.76,19950.12,21085.88,21085.88,0
2022-06-24,21084.65,21472.92,20777.51,21231.66,21231.66,0
2022-06-25,21233.61,21520.91,20964.59,21502.34,21502.34,0
2022-06-26,21496.49,21783.72,21016.27,21027.30,21027.30,0
2022-06-27,21028.24,21478.09,20620.20,20735.48,20735.48,0
2022-06-28,20731.54,21164.42,20228.81,20280.64,20280.64,0
2022-06-29,20281.17,20364.16,19937.79,20104.02,20104.02,0
2022-06-30,20108.31,20141.16,18729.66,19784.73,19784.73,0
2022-07-01,19820.47,20632.67,19073.71,19269.37,19269.37,0
2022-07-02,19274.84,19371.75,19027.08,19242.26,19242.26,0
2022-07-03,19242.09,19558.27,18966.95,19297.08,19297.08,0
2022-07-04,19297.31,20258.75,19063.07,20231.26,20231.26,0
2022-07-05,20225.35,20635.47,19341.23,20190.11,20190.11,0
2022-07-06,20194.62,20595.53,19823.51,20548.25,20548.25,0
2022-07-07,20547.81,21771.82,20296.10,21637.59,21637.59,0
2022-07-08,21637.16,22314.94,21257.45,21731.12,21731.12,0
2022-07-09,21716.83,21877.14,21445.96,21592.21,21592.21,0
2022-07-10,21591.08,21591.08,20727.12,20860.45,20860.45,0
2022-07-11,20856.35,20856.35,19924.54,19970.56,19970.56,0
2022-07-12,19970.48,20043.45,19308.53,19323.91,19323.91,0
2022-07-13,19325.97,20223.05,18999.95,20212.07,20212.07,0
2022-07-14,20211.47,20789.89,19689.26,20569.92,20569.92,0
2022-07-15,20573.16,21138.24,20397.00,20836.33,20836.33,0
2022-07-16,20834.10,21514.40,20518.90,21190.32,21190.32,0
2022-07-17,21195.04,21600.64,20778.18,20779.34,20779.34,0
2022-07-18,20781.91,22633.03,20781.91,22485.69,22485.69,0
2022-07-19,22467.85,23666.96,21683.41,23389.43,23389.43,0
2022-07-20,23393.19,24196.82,23009.95,23231.73,23231.73,0
2022-07-21,23233.20,23388.32,22431.15,23164.63,23164.63,0
2022-07-22,23163.75,23671.93,22603.42,22714.98,22714.98,0
2022-07-23,22706.98,22977.21,22002.91,22465.48,22465.48,0
2022-07-24,22465.51,22974.00,22306.84,22609.16,22609.16,0
